Title,Agency_ID,Street,Zip_Code,City,Zone,Phone,Email,Website
AFFILIATO FRIMM TIBURTINA  ,2,Via Tiburtina 558,00159,Roma,Tiburtina - Portonaccio - Casal Bertone,06 43535106 -06 43599670,frimm2@hotmail.it,www.tiburtinacasa.com
Solari Real Estate S.R.L.S.  ,39,Circonvallazione Cornelia 64,00167,Roma,Boccea,066627881,frimm39@frimm.com,www.solarire.it
Casagregoryre Srl Semplificata  ,66,Largo Gregorio Xiii 5,00167,Roma,Boccea,066633692,casagregoryre@gmail.com,www.casagregoryre.it
Selling Immobiliare Di Paola Peppoloni  ,190,Via Tommaso Da Celano 61,00179,Roma,Appio Latino,+39 064065880 3453067475 3383496619,selling.immobiliare@gmail.com,www.sellingimmobiliare.com
Affiliato Frimm Mambor Immobiliare  ,218,Via Dei Panfili 62,00121,Roma,Ostia Ponente,+39 06 88978795,frimmimmobiliaremm@gmail.com,
EffettoCasa Srl Aff. Frimm  ,228,Via Marco Valerio Corvo 115,00174,Roma,Tuscolano - Appio Claudio,067108235 - 067108236,effettocasa.tuscolana@gmail.com,www.effettocasaroma.it
FRALE IMMOBILIARE SNC  ,235,Via Della Bufalotta 306,00137,Roma,Talenti,0687132555,frimm235@frimm.com,www.fraleimmobiliare.it
ElEman S.R.L. Di Eleuterio Ed Emanuele  ,243,Via Peveragno 54,00166,Roma,Valcannuta,+39 06 66032385,frimm243@frimm.com,www.immobiliareleman.it
Immobiliare Salaria S.R.L.  ,293,Via Rapagnano 73,00138,Roma,Nuovo Salario,+39 06 8815226,frimmgroup@yahoo.it,www.casafrimmsalaria.com
Gruppo Immobiliare 2000 Sas  ,301,Via Pietro Cartoni 7C,00152,Roma,Monteverde,+39 06 53272580,frimm301@frimm.com,
M.P.G. Immobiliare S.R.L  ,373,Viale Adriatico 151,00141,Roma,Montesacro,+39 06 8176682/ 06 87183868,frimm373@frimm.com,www.mpgimmobiliare.com
Immobil System S.R.L.  ,430,Via Giovanni De Calvi 65,00151,Roma,Monteverde,+39 06 45441909,frimm430@frimm.com,www.frimmimmobilsystem.com
Prati Re  ,690,Via Teulada 83,00195,Roma,Prati,063724170,frimm690@gmail.com,www.pratire.it
M.E.M. S.R.L.  ,724,Via Di Acqua Bullicante 379,00176,Roma,Pigneto - Largo Preneste,06 2757057,mem.srl.frimm@gmail.com,
Studio Balduina 2004 Srl  ,820,Via Giannina Milli ,00135,Roma,Montemario,+39 06 97842632,frimm820@frimm.com,www.appartamentinvendita.com
Studio Leone Iv S.R.L.  ,837,Via Leone Iv ,00192,Roma,Prati,+39 06 39745439,frimm837@frimm.com,www.studioleonequarto.it
Prati Re  ,854,Via Girolamo Cocconi 4,00171,Roma,Centocelle,0625209495,frimm854@libero.it,www.pratirecocconi.it
Rivincita175 Srl  ,1271,Via Baldo Degli Ubaldi 175,00167,Roma,Baldo Degli Ubaldi,0666017704,info@immobiliarerivincita175.it,www.immobilarerivincita175.it
FRIMM Progeacasa  ,1342,Via Prenestina 305,00177,Roma,Villa Gordiani,+39 06 24407838,frimm@progeacasa.it,www.frimmroma.it
FABRIZIO CORVI  ,1688,Via Del Forte Braschi 73,00167,Roma,Boccea,3318231466,corvimmobiliare@live.it,www.corvimmobiliare.com
Frimm - Mi.Za.Immobiliare Srl  ,2772,Via Stresa 23,00135,Roma,Camilluccia - Cortina D'Ampezzo,+39 06 45551066,frimm2772@frimm.com,www.immobiliarecamilluccia.it
FRIMM -TRASTEVEREIMMOBILIARE  ,3647,Viale Trastevere 98,00153,Roma,Trastevere,+39 06 58335076/+39 327 3566830,info@trastevereimmobiliare.com,www.trastevereimmobiliare.com
STUDIO LIBERO SRL  ,3921,Via Girolamo Benzoni 28- 28 A,00154,Roma,Colombo - Navigatori,+39 06 57289195,studio_libero@libero.it,
Omega Service Consulting S.R.L. Affiliato Frimm Esquilino  ,38839,Via Principe Amedeo 166,00185,Roma,Esquilino - San Lorenzo,+390649380530,info@omegacase.it,www.omegacase.it
FRIMM CENTRO SERVIZI GOLD  ,38859,Via Delle Azzorre 392,00121,Roma,Ostia Ponente,06 45444024,frimmcentroservizi@gmail.com,www.frimmcentroservizi.it
Frimm - Mas Service S.R.L.  ,39160,Viale Della Grande Muraglia 144,00144,Roma,Torrino,06 5204273 - 333 2846509,frimm39160@gmail.com,www.immobiliaremasservice.it
AFFILIATO FRIMM GREGORIO VII AURELIO  ,39188,Via Di San Pio V 23,00165,Roma,Gregorio Vii - Aurelio,+39 06 96046988,mfuso@frimm.com,www.emmeeffeimmobiliare.com
Frimm Nuovo Salario  ,39213,Piazza Filattiera 2,00139,Roma,Nuovo Salario,068101258-0688643415,studionuovosalario@gmail.com,www.frimmstudiosalario.com
Centro Agenti Immobiliari Srls  ,39652,Via Giovanni Nicotera 29,00169,Roma,Prati,06/89167027,centroagentifrimm@gmail.com,centroagentiimmobiliari.it
Red Srl  ,39707,Largo Brindisi 2,00182,Roma,San Giovanni,+39 06 77201856,info@immobiliared.com,www.immobiliared.com
CAPORILLI IMMOBILIARE - FRIMM PONTE MILVIO  ,40638,Via Della Farnesina 125,00135,Roma,Ponte Milvio,0633250164,agenziapontemilvio@frimm.com,www.caporilliimmobiliare.it
Affiliato Frimm Centocelle  ,40815,Via Tor De' Schiavi 69,00172,Roma,Centocelle,+39 06 64772776,evoluzionecasa2012@gmail.com,www.evoluzionecasa.it
ALPA IMMOBILIARE  ,40935,Via Sestio Calvino 35,00174,Roma,Tuscolano - Appio Claudio,0671049962,pallegrezza@frimm.com,www.casetuscolana.com
Affiliato Frimm Di Cesare  ,41095,Via Franco Sacchetti 59,00137,Roma,Talenti,06 8278358/347 0828545,ddicesare@frimm.com,www.frimmdicesare.com
Frimm Gianicolense  ,41125,Circonvallazione Gianicolense 206a,00152,Roma,Monteverde - Gianicolense,065342489,frimmgianicolense@frimm.com,www.frimmgianicolense.it
