ObjectName;FieldName;Type;Properties;Description
AcceptedEventRelation;EventId;reference;Filter, Group, Nillable, Sort;Indicates the ID of the event.
AcceptedEventRelation;RelationId;reference;Filter, Group, Nillable, Sort;Indicates the ID of the invitee.
AcceptedEventRelation;RespondedDate;dateTime;Filter, Nillable, Sort;Indicates the most recent date and time when the invitee accepted an invitation to the event.
AcceptedEventRelation;Response;string;Filter, Group, Nillable, Sort;Indicates the content of the response field. Label is Comment.
AcceptedEventRelation;Type;string;Filter, Group, Nillable, Sort;Indicates whether the invitee is a user, lead or contact, or resource.
Account;AccountNumber;string;Create, Filter, Group, Nillable, Sort, Update;Account number assigned to this account (not the unique, system-generated ID assigned during creation). Maximum size is 40 characters.
Account;AccountSource;picklist;Create, Filter, Group, Nillable, Sort, Update;The source of the account record. For example, Advertisement, Data.com, or Trade Show. The source is selected from a picklist of available values, which are set by an administrator. Each picklist value can have up to 40 characters.
Account;AnnualRevenue;currency;Create, Filter, Nillable, Sort, Update;Estimated annual revenue of the account.
Account;BillingAddress;address;Filter, Nillable;The compound form of the billing address. Read-only. See Address Compound Fields for details on compound address fields.
Account;BillingCity;string;Create, Filter, Group, Nillable, Sort, Update;Details for the billing address of this account. Maximum size is 40 characters.
Account;BillingCountry;string;Create, Filter, Group, Nillable, Sort, Update;Details for the billing address of this account. Maximum size is 80 characters.
Account;BillingCountryCode;picklist;Create, Filter, Group, Nillable, Sort, Update;The ISO country code for the account’s billing address.
Account;BillingGeocodeAccuracy;picklist;Create, Filter, Group, Nillable, Restricted picklist, Sort, Update;Accuracy level of the geocode for the billing address. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;BillingLatitude;double;Create, Filter, Nillable, Sort, Update;Used with BillingLongitude to specify the precise geolocation of a billing address. Acceptable values are numbers between –90 and 90 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;BillingLongitude;double;Create, Filter, Nillable, Sort, Update;Used with BillingLatitude to specify the precise geolocation of a billing address. Acceptable values are numbers between –180 and 180 with up to 15 decimal places. See Compound Field Considerations and Limitations for details on geolocation compound fields.
Account;BillingPostalCode;string;Create, Filter, Group, Nillable, Sort, Update;Details for the billing address of this account. Maximum size is 20 characters.
Account;BillingState;string;Create, Filter, Group, Nillable, Sort, Update;Details for the billing address of this account. Maximum size is 80 characters.
Account;BillingStateCode;picklist;Create, Filter, Group, Nillable, Sort, Update;The ISO state code for the account’s billing address.
Account;BillingStreet;textarea;Create, Filter, Group, Nillable, Sort, Update;Street address for the billing address of this account.
Account;ChannelProgramName;string;Group, Nillable;Read only. Name of the channel program the account has enrolled. Note If this account has enrolled more than one channel program, the oldest channel program name will be displayed. .
Account;ChannelProgramLevelName;string;Group, Nillable;Read only. Name of the channel program level the account has enrolled. Note If this account has enrolled more than one channel program level, the oldest channel program name will be displayed.
Account;CleanStatus;picklist;Create, Filter, Group, Nillable, Restricted picklist, Sort, Update;Indicates the record’s clean status as compared with Data.com. Values are: Matched, Different, Acknowledged, NotFound, Inactive, Pending, SelectMatch, or Skipped.Several values for CleanStatus display with different labels on the account record detail page. Matched displays as In Sync Acknowledged displays as Reviewed Pending displays as Not Compared
Account;ConnectionReceivedId;reference;Filter, Group, Nillable, Sort;ID of the PartnerNetworkConnection that shared this record with your organization. This field is available if you enabled Salesforce to Salesforce.
Account;ConnectionSentId;reference;Filter, Group, Nillable, Sort;ID of the PartnerNetworkConnection that you shared this record with. This field is available if you enabled Salesforce to Salesforce. This field is supported using API versions earlier than 15.0. In all other API versions, this field’s value is null. You can use the new PartnerNetworkRecordConnection object to forward records to connections.
Account;Description;textarea;Create, Nillable, Update;Text description of the account. Limited to 32,000 KB.
