ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
AcceptedEventRelation,Represents event participants (invitees or attendees) with the status Accepted for a given event.,"describeSObjects(), query(), retrieve()",,,,
Account,"Represents an individual account, which is an organization or personinvolved with your business (such as customers, competitors, and partners).","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), merge(), query(), retrieve(), search(), undelete(), update(), upsert()",Customer Portal users can access their own accounts and any account shared with them.,"Use this object to query and manage accounts in your organization. Client applications can create, update, delete, or query Attachment records associated with an account via the API.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AccountBrand,Represents the brand details of a Partner Account. This object   is available in API version 43.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated() query(), retrieve(), search(), undelete(), update(), upsert()",This object is available only if Salesforce Communities is enabled in your organization and it has a Partner Community or Customer Community Plus license.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
AccountContactRelation,Represents a relationship between a contact and one or more accounts.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,Use this object to associate a single contact record to multiple account records so you can easily track the relationships between the people and businesses they work with.,,
AccountCleanInfo ,Stores the metadata Data.com Clean uses to determine an account record’s clean status. AccountCleanInfo helps you automate the cleaning or related processing of account records.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update()",,Administrators can modify a limited set of AccountCleanInfo fields from the Account     Clean Info page. ,,
AccountContactRole,Represents the role that a Contactplays on an Account.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,,,
AccountInsight,Represents an individual insight (a key business development) related to an account record.,"describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","To see an insight related to a specific account, users need a Sales Cloud Einstein license and access to the account record. As of the Spring ’20 release, Pardot and High Velocity Sales users no longer have access to this object.","This object is read-only and isn’t supported with workflows, triggers, or process builder.",,
AccountOwnerSharingRule,Represents the rules for sharing an account with a User other than the   owner.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,"Use this object to manage the sharing rules for accounts. General sharing and territory     management-related sharing use this object. For example, the following code creates an     account owner sharing rule between two public groups, which can also contain portal     users.",,
AccountPartner,This object represents a partner relationship between two Account records. An AccountPartner record is created automatically when a Partner record is created for a partner relationship between two accounts.,"create(), delete(), describeLayout()describeSObjects(), query(), retrieve()",,,,
AccountRelationship,Represents a relationship of a given type between two accounts. This object is available in API version 45.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","In Community Settings, turn on the Enable Account Relationships org preference, which is off by default.",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
